           1         169  ! dim data
time   0.000000E+00
          52
           5   5.2083333333333330E-003
           6   3.7856867283950629E-003
           7   4.1106066099216619E-003
           8   5.2083333333333330E-003
           9  -7.8125000000000017E-003
          10  -1.7578125000000007E-002
          11  -1.5625000000000003E-002
          12  -1.4021912512642554E-002
          16   1.3318816419402357E-002
          22   7.3784722222222238E-003
          23   7.0430871212121202E-003
          30   7.6840420894144406E-003
          38   7.9599667423982650E-003
          52   1.0717207029434059E-002
          57   1.0105113611557241E-002
          67   1.1799125514403295E-002
          69   1.3906973379629629E-002
          70   9.1992008887745742E-003
          73   1.2732300224488548E-002
          74   1.1866740337532948E-002
          75   1.1419843780254622E-002
          76   7.1688464667837883E-003
          77   1.5971012614789937E-002
          78   1.0943608255645948E-002
          79   1.0223546412606834E-002
          80   8.3509377420369849E-003
          83   1.0679637653829703E-002
          84   1.5854070216049381E-002
          85   7.5713734567901224E-003
          86  -2.4235611128131804E-002
          89  -3.4830729166666664E-002
          96  -2.1972656250000007E-002
         102  -2.3437500000000003E-002
         103  -2.0035025152965902E-002
         106  -2.3862264557750791E-002
         107  -4.5974046062352267E-002
         108  -4.4585197616817916E-002
         109  -2.6200373010484678E-002
         110  -3.9456973169272776E-002
         111  -3.9173315602836899E-002
         112  -4.0554698769491415E-002
         113  -4.0699043239679746E-002
         114  -3.0590803432821313E-002
         115  -1.8851330150587094E-002
         117  -2.3832819597465402E-002
         118  -2.1032868768963833E-002
         119  -4.1343713122349753E-002
         120   9.7931178157595715E-003
         135  -3.6491497881762133E-002
         136  -4.4914476644621754E-002
         137  -2.7064518497510775E-002
         138  -2.5823000664824701E-002
time   1.000000E+30
