4 303 !dim number data 
0.0625 0.22916666666666666 0.0 0.0
0.4963107716733511 0.1313458226726526 0.0 0.0
0.22318672839506173 0.3462577160493827 0.0 0.0
0.0625 0.6458333333333334 0.0 0.0
0.0625 0.7708333333333334 0.0 0.0
0.1952872951348561 0.9739583333333334 0.0 0.0
0.25801508069294016 0.9467542763397759 0.0 0.0
0.3850072113975429 0.8027576311875902 0.0 0.0
0.71875 0.28125 0.0 0.0
0.9791666666666666 0.4375 0.0 0.0
0.5434861866484548 0.15754548178748237 0.0 0.0
0.2071883443626447 0.053093682916975936 0.0 0.0
0.8650648284966683 0.7924009886949128 0.0 0.0
0.6493055555555555 0.4375 0.0 0.0
0.5118677072691454 0.962482575693406 0.0 0.0
0.6500714869281046 0.5463218273420479 0.0 0.0
0.9375 0.6041666666666666 0.0 0.0
0.04513888888888889 0.9065656565656566 0.0 0.0
0.10416666666666667 0.4375 0.0 0.0
0.5732140088650489 0.6443108987300672 0.0 0.0
0.15625 0.20833333333333334 0.0 0.0
0.0625 0.5208333333333334 0.0 0.0
0.1875 0.7291666666666666 0.0 0.0
0.020833333333333332 0.8125 0.0 0.0
0.0625 0.3958333333333333 0.0 0.0
0.20562401329376442 0.8712134143220229 0.0 0.0
0.04513888888888889 0.8576388888888888 0.0 0.0
0.18442234848484848 0.5603693181818182 0.0 0.0
0.10416666666666667 0.6875 0.0 0.0
0.23591979742616312 0.20930643376113847 0.0 0.0
0.1242283950617284 0.11612654320987655 0.0 0.0
0.0625 0.2708333333333333 0.0 0.0
0.14583333333333334 0.3125 0.0 0.0
0.19783671815890827 0.8259007332885391 0.0 0.0
0.46210108664801886 0.8546209061963257 0.0 0.0
0.15729305478576663 0.9492461193505962 0.0 0.0
0.0625 0.9864267676767676 0.0 0.0
0.11532738095238095 0.8048115079365079 0.0 0.0
0.1684537690714809 0.8998909606204375 0.0 0.0
0.020833333333333332 0.5625 0.0 0.0
0.0625 0.6041666666666666 0.0 0.0
0.10416666666666667 0.5625 0.0 0.0
0.22172251670055187 0.6489699813631523 0.0 0.0
0.5745427524731611 0.3383408104687493 0.0 0.0
0.18663194444444442 0.5190972222222222 0.0 0.0
0.52419988439257 0.9251184515011673 0.0 0.0
0.11458333333333333 0.19791666666666666 0.0 0.0
0.09722222222222222 0.1527777777777778 0.0 0.0
0.020833333333333332 0.1875 0.0 0.0
0.2702686356159683 0.10571645149664222 0.0 0.0
0.045138888888888895 0.14236111111111113 0.0 0.0
0.26351550485647185 0.05266001773550374 0.0 0.0
0.1103395061728395 0.0394219977553311 0.0 0.0
0.020833333333333332 0.055239898989898985 0.0 0.0
0.1728395061728395 0.02584876543209877 0.0 0.0
0.1759383443626447 0.10517701625030927 0.0 0.0
0.42364171717901034 0.06955591950769334 0.0 0.0
0.20466979742616312 0.17805643376113847 0.0 0.0
