         124 ! # of nodes 
         654           2 ! # of edges , # of node for edges
  0.13020833333333331        8.5937500000000000E-002   0.0000000000000000     
  0.93750000000000000       0.20833333333333331        0.0000000000000000     
  0.14583333333333331       0.37500000000000000        0.0000000000000000     
  0.22363281250000000       0.66666666666666663        0.0000000000000000     
  0.25000000000000000       0.92187500000000000        0.0000000000000000     
   6.2500000000000000E-002  0.20833333333333331        0.0000000000000000     
  0.30696614583333331       0.53645833333333326        0.0000000000000000     
  0.43396493316231788       0.96530920008550769        0.0000000000000000     
  0.45833333333333331       0.45833333333333331        0.0000000000000000     
  0.91666666666666663       0.29166666666666663        0.0000000000000000     
  0.75000000000000000        7.8125000000000000E-002   0.0000000000000000     
  0.44268395583287123       0.18059055779569891        0.0000000000000000     
  0.93750000000000000       0.79166666666666663        0.0000000000000000     
  0.66666666666666663       0.41666666666666663        0.0000000000000000     
  0.86979166666666663       0.91406250000000000        0.0000000000000000     
  0.58333333333333326       0.33333333333333331        0.0000000000000000     
  0.95833333333333326       0.41666666666666663        0.0000000000000000     
   6.2500000000000000E-002  0.79166666666666663        0.0000000000000000     
  0.10416666666666666       0.37500000000000000        0.0000000000000000     
  0.49652777777777773       0.58333333333333326        0.0000000000000000     
  0.13020833333333331       0.16927083333333331        0.0000000000000000     
   8.3333333333333329E-002  0.54166666666666663        0.0000000000000000     
  0.22363281250000000       0.57812500000000000        0.0000000000000000     
   2.0833333333333332E-002  0.87500000000000000        0.0000000000000000     
   6.2500000000000000E-002  0.29166666666666663        0.0000000000000000     
  0.18750000000000000       0.79687500000000000        0.0000000000000000     
  0.25000000000000000       0.83854166666666663        0.0000000000000000     
   8.3333333333333329E-002  0.70833333333333326        0.0000000000000000     
   4.1666666666666664E-002  0.58333333333333326        0.0000000000000000     
  0.32354525862068961       0.20281070402298851        0.0000000000000000     
  0.31250000000000000       0.79166666666666663        0.0000000000000000     
   2.0833333333333332E-002  0.37500000000000000        0.0000000000000000     
   6.2500000000000000E-002  0.45833333333333331        0.0000000000000000     
   6.2500000000000000E-002  0.95833333333333326        0.0000000000000000     
  0.86979166666666663       0.83072916666666663        0.0000000000000000     
  0.19270833333333331        4.4270833333333329E-002   0.0000000000000000     
   2.0833333333333332E-002  0.12500000000000000        0.0000000000000000     
  0.26625359195402298        8.0414870689655166E-002   0.0000000000000000     
   6.2500000000000000E-002   4.1666666666666664E-002   0.0000000000000000     
  0.19270833333333331       0.21093750000000000        0.0000000000000000     
  0.36521192528735630        3.6144037356321837E-002   0.0000000000000000     
  0.56603506683768212        3.4690799914492261E-002   0.0000000000000000     
  0.26625359195402298       0.16374820402298851        0.0000000000000000     
  0.27083333333333331       0.33333333333333331        0.0000000000000000     
  0.33333333333333331       0.29166666666666663        0.0000000000000000     
  0.41666666666666663       0.33333333333333331        0.0000000000000000     
  0.41666666666666663       0.41666666666666663        0.0000000000000000     
  0.18750000000000000       0.29166666666666663        0.0000000000000000     
  0.34863281250000000       0.62500000000000000        0.0000000000000000     
  0.18750000000000000       0.45312500000000000        0.0000000000000000     
  0.27083333333333331       0.41145833333333331        0.0000000000000000     
  0.33333333333333331       0.45312500000000000        0.0000000000000000     
  0.16666666666666666       0.70833333333333326        0.0000000000000000     
  0.16666666666666666       0.53645833333333326        0.0000000000000000     
  0.30696614583333331       0.70833333333333326        0.0000000000000000     
  0.31250000000000000       0.95833333333333326        0.0000000000000000     
  0.49128097732944670       0.93289012526471915        0.0000000000000000     
  0.18750000000000000       0.96354166666666663        0.0000000000000000     
  0.49652777777777773       0.68516185035842292        0.0000000000000000     
  0.60877078554643904       0.84810355448955621        0.0000000000000000     
  0.97916666666666663       0.12500000000000000        0.0000000000000000     
   4.1666666666666664E-002  0.66666666666666663        0.0000000000000000     
  0.85416666666666663       0.62500000000000000        0.0000000000000000     
  0.89583333333333326       0.62500000000000000        0.0000000000000000     
  0.81250000000000000       0.20312500000000000        0.0000000000000000     
  0.75000000000000000       0.16145833333333331        0.0000000000000000     
  0.70833333333333326       0.46354166666666663        0.0000000000000000     
  0.91666666666666663       0.45833333333333331        0.0000000000000000     
  0.93750000000000000       0.70833333333333326        0.0000000000000000     
  0.68750000000000000       0.20833333333333331        0.0000000000000000     
  0.93750000000000000        4.1666666666666664E-002   0.0000000000000000     
  0.67645474137931028       0.79718929597701149        0.0000000000000000     
  0.80729166666666663       0.95572916666666663        0.0000000000000000     
  0.97916666666666663       0.62500000000000000        0.0000000000000000     
  0.93750000000000000       0.54166666666666663        0.0000000000000000     
  0.97916666666666663       0.87500000000000000        0.0000000000000000     
  0.73374640804597702       0.91958512931034486        0.0000000000000000     
  0.93750000000000000       0.95833333333333326        0.0000000000000000     
  0.80729166666666663       0.78906250000000000        0.0000000000000000     
  0.63478807471264365       0.96385596264367823        0.0000000000000000     
  0.56710411887977241       0.93143688782288958        0.0000000000000000     
  0.73374640804597702       0.83625179597701149        0.0000000000000000     
  0.74730603448275856       0.58970905172413790        0.0000000000000000     
  0.74730603448275856       0.66783405172413790        0.0000000000000000     
  0.43402777777777773       0.72682851702508966        0.0000000000000000     
  0.68480603448275856       0.70950071839080453        0.0000000000000000     
  0.81250000000000000       0.70833333333333326        0.0000000000000000     
  0.70833333333333326       0.33333333333333331        0.0000000000000000     
  0.81250000000000000       0.54687500000000000        0.0000000000000000     
  0.64313936781609193       0.62616738505747116        0.0000000000000000     
  0.68480603448275856       0.54804238505747116        0.0000000000000000     
  0.83333333333333326       0.29166666666666663        0.0000000000000000     
  0.79166666666666663       0.46354166666666663        0.0000000000000000     
  0.66666666666666663       0.29166666666666663        0.0000000000000000     
  0.68750000000000000        4.1666666666666664E-002   0.0000000000000000     
  0.43396493316231788       0.81713771711059735        0.0000000000000000     
  0.55731604416712877       0.81940944220430101        0.0000000000000000     
  0.50871902267055324        6.7109874735280781E-002   0.0000000000000000     
  0.81250000000000000        3.6458333333333329E-002   0.0000000000000000     
  0.54166666666666663       0.27317148297491034        0.0000000000000000     
  0.39122921445356085       0.15189644551044368        0.0000000000000000     
  0.43289588112022753        6.8563112177110364E-002   0.0000000000000000     
  0.56603506683768212       0.18286228288940265        0.0000000000000000     
  0.12500000000000000       0.92187500000000000        0.0000000000000000     
  0.95833333333333326       0.33333333333333331        0.0000000000000000     
  0.12500000000000000       0.83854166666666663        0.0000000000000000     
  0.37146493316231788       0.84030920008550769        0.0000000000000000     
  0.37146493316231788       0.92364253341884095        0.0000000000000000     
  0.49128097732944670       0.86805197562314196        0.0000000000000000     
  0.58333333333333326       0.41666666666666663        0.0000000000000000     
  0.45833333333333331       0.27317148297491034        0.0000000000000000     
  0.56250000000000000       0.54166666666666663        0.0000000000000000     
  0.54166666666666663       0.45833333333333331        0.0000000000000000     
  0.56250000000000000       0.72682851702508966        0.0000000000000000     
  0.60416666666666663       0.62500000000000000        0.0000000000000000     
  0.83333333333333326       0.41666666666666663        0.0000000000000000     
  0.79166666666666663       0.33333333333333331        0.0000000000000000     
  0.39236111111111105       0.62500000000000000        0.0000000000000000     
  0.43402777777777773       0.54166666666666663        0.0000000000000000     
  0.87500000000000000        7.8125000000000000E-002   0.0000000000000000     
  0.87500000000000000       0.16145833333333331        0.0000000000000000     
  0.62853506683768212       0.15969079991449225        0.0000000000000000     
  0.62853506683768212        7.6357466581158925E-002   0.0000000000000000     
  0.50871902267055324       0.13194802437685782        0.0000000000000000     
           1           6           1
           1          21           2
           1          36           3
           1          37           4
           1          38           5
           1          39           6
           1          40           7
           1          43           8
           2          10           9
           2          61          10
           2          65          11
           2          71          12
           2          92          13
           2         105          14
           2         120          15
           2         121          16
           3           6          17
           3          19          18
           3          21          19
           3          22          20
           3          25          21
           3          33          22
           3          40          23
           3          44          24
           3          48          25
           3          50          26
           3          51          27
           3          54          28
           4           7          29
           4          22          30
           4          23          31
           4          26          32
           4          27          33
           4          28          34
           4          29          35
           4          31          36
           4          49          37
           4          53          38
           4          54          39
           4          55          40
           4          62          41
           5          26          42
           5          27          43
           5          31          44
           5          56          45
           5          58          46
           5         104          47
           5         106          48
           5         107          49
           5         108          50
           6          19          51
           6          21          52
           6          25          53
           6          32          54
           6          37          55
           6          39          56
           6          40          57
           6          48          58
           7           9          59
           7          23          60
           7          47          61
           7          49          62
           7          50          63
           7          51          64
           7          52          65
           7          54          66
           7          55          67
           7         118          68
           7         119          69
           8          56          70
           8          57          71
           8          80          72
           8          81          73
           8          96          74
           8         107          75
           8         108          76
           8         109          77
           9          16          78
           9          20          79
           9          46          80
           9          47          81
           9          49          82
           9          52          83
           9         100          84
           9         110          85
           9         111          86
           9         112          87
           9         113          88
           9         118          89
           9         119          90
          10          17          91
          10          61          92
          10          65          93
          10          68          94
          10          92          95
          10         105          96
          10         116          97
          10         117          98
          10         121          99
          11          65         100
          11          66         101
          11          70         102
          11          95         103
          11          99         104
          11         120         105
          11         121         106
          11         122         107
          11         123         108
          12          30         109
          12          45         110
          12          46         111
          12          98         112
          12         100         113
          12         101         114
          12         102         115
          12         103         116
          12         111         117
          12         124         118
          13          15         119
          13          35         120
          13          63         121
          13          64         122
          13          69         123
          13          74         124
          13          76         125
          13          78         126
          13          79         127
          13          87         128
          14          16         129
          14          67         130
          14          88         131
          14          90         132
          14          91         133
          14          93         134
          14          94         135
          14         110         136
          14         112         137
          14         113         138
          14         115         139
          14         116         140
          14         117         141
          15          35         142
          15          73         143
          15          76         144
          15          77         145
          15          78         146
          15          79         147
          15          82         148
          16          46         149
          16          47         150
          16          70         151
          16          88         152
          16          94         153
          16         100         154
          16         103         155
          16         110         156
          16         111         157
          16         113         158
          16         122         159
          17          68         160
          17          74         161
          17          75         162
          17          92         163
          17         105         164
          17         116         165
          17         117         166
          18          24         167
          18          26         168
          18          28         169
          18          34         170
          18          53         171
          18          62         172
          18         104         173
          18         106         174
          19          21         175
          19          22         176
          19          25         177
          19          32         178
          19          33         179
          19          40         180
          19          48         181
          19          50         182
          19          54         183
          20          59         184
          20          85         185
          20         112         186
          20         113         187
          20         114         188
          20         115         189
          20         118         190
          20         119         191
          21          25         192
          21          36         193
          21          37         194
          21          38         195
          21          39         196
          21          40         197
          21          43         198
          21          48         199
          22          23         200
          22          28         201
          22          29         202
          22          32         203
          22          33         204
          22          50         205
          22          53         206
          22          54         207
          22          62         208
          23          28         209
          23          29         210
          23          49         211
          23          50         212
          23          51         213
          23          52         214
          23          53         215
          23          54         216
          23          55         217
          23          62         218
          24          28         219
          24          34         220
          24          62         221
          24         104         222
          24         106         223
          25          32         224
          25          33         225
          25          37         226
          25          40         227
          25          48         228
          26          27         229
          26          28         230
          26          31         231
          26          53         232
          26          55         233
          26          58         234
          26         104         235
          26         106         236
          27          31         237
          27          53         238
          27          55         239
          27          56         240
          27          58         241
          27         104         242
          27         106         243
          27         107         244
          27         108         245
          28          29         246
          28          53         247
          28          54         248
          28          62         249
          28         106         250
          29          32         251
          29          33         252
          29          53         253
          29          54         254
          29          62         255
          30          38         256
          30          40         257
          30          41         258
          30          43         259
          30          44         260
          30          45         261
          30          46         262
          30          48         263
          30         101         264
          30         102         265
          30         111         266
          31          49         267
          31          53         268
          31          55         269
          31          56         270
          31          85         271
          31          96         272
          31         107         273
          31         108         274
          31         118         275
          32          33         276
          32          37         277
          33          50         278
          33          54         279
          34          58         280
          34         104         281
          34         106         282
          35          63         283
          35          64         284
          35          69         285
          35          73         286
          35          76         287
          35          77         288
          35          78         289
          35          79         290
          35          82         291
          35          87         292
          36          38         293
          36          39         294
          36          40         295
          36          41         296
          36          43         297
          37          39         298
          38          40         299
          38          41         300
          38          43         301
          38         101         302
          38         102         303
          40          43         304
          40          44         305
          40          45         306
          40          48         307
          41          42         308
          41          43         309
          41          98         310
          41         101         311
          41         102         312
          42          95         313
          42          98         314
          42         102         315
          42         103         316
          42         122         317
          42         123         318
          42         124         319
          43          44         320
          43          45         321
          43          48         322
          43         101         323
          43         102         324
          44          45         325
          44          46         326
          44          47         327
          44          48         328
          44          50         329
          44          51         330
          44          52         331
          45          46         332
          45          47         333
          45          48         334
          45          51         335
          45          52         336
          45         101         337
          45         111         338
          46          47         339
          46          51         340
          46          52         341
          46         100         342
          46         101         343
          46         110         344
          46         111         345
          46         113         346
          47          49         347
          47          51         348
          47          52         349
          47         100         350
          47         110         351
          47         111         352
          47         113         353
          47         118         354
          47         119         355
          48          50         356
          48          51         357
          49          52         358
          49          55         359
          49          85         360
          49          96         361
          49         107         362
          49         118         363
          49         119         364
          50          51         365
          50          52         366
          50          54         367
          51          52         368
          51          54         369
          52          54         370
          52         118         371
          52         119         372
          53          54         373
          53          55         374
          53          62         375
          53         106         376
          54          62         377
          55          85         378
          55          96         379
          55         107         380
          55         118         381
          56          58         382
          56         107         383
          56         108         384
          57          60         385
          57          80         386
          57          81         387
          57          96         388
          57          97         389
          57         107         390
          57         108         391
          57         109         392
          58         104         393
          58         106         394
          59          85         395
          59          96         396
          59          97         397
          59         109         398
          59         112         399
          59         114         400
          59         115         401
          59         118         402
          59         119         403
          60          72         404
          60          77         405
          60          80         406
          60          81         407
          60          82         408
          60          86         409
          60          90         410
          60          97         411
          60         109         412
          60         114         413
          60         115         414
          61          71         415
          61         105         416
          61         120         417
          61         121         418
          63          64         419
          63          68         420
          63          69         421
          63          75         422
          63          79         423
          63          83         424
          63          84         425
          63          87         426
          63          89         427
          63          93         428
          63         116         429
          64          68         430
          64          69         431
          64          74         432
          64          75         433
          64          79         434
          64          87         435
          64          89         436
          64          93         437
          64         116         438
          65          66         439
          65          70         440
          65          88         441
          65          92         442
          65          94         443
          65          99         444
          65         117         445
          65         120         446
          65         121         447
          66          70         448
          66          88         449
          66          92         450
          66          94         451
          66          95         452
          66          99         453
          66         117         454
          66         120         455
          66         121         456
          66         122         457
          66         123         458
          67          83         459
          67          88         460
          67          89         461
          67          90         462
          67          91         463
          67          93         464
          67         110         465
          67         112         466
          67         113         467
          67         115         468
          67         116         469
          67         117         470
          68          74         471
          68          75         472
          68          89         473
          68          92         474
          68          93         475
          68         105         476
          68         116         477
          68         117         478
          69          74         479
          69          75         480
          69          76         481
          69          79         482
          69          87         483
          70          88         484
          70          92         485
          70          94         486
          70          95         487
          70         100         488
          70         103         489
          70         117         490
          70         122         491
          70         123         492
          71          99         493
          71         120         494
          71         121         495
          72          77         496
          72          79         497
          72          80         498
          72          81         499
          72          82         500
          72          84         501
          72          86         502
          72          87         503
          72          90         504
          72          97         505
          72         114         506
          72         115         507
          73          77         508
          73          78         509
          73          79         510
          73          80         511
          73          82         512
          74          75         513
          74          76         514
          75          89         515
          75          93         516
          75         116         517
          76          78         518
          77          79         519
          77          80         520
          77          81         521
          77          82         522
          79          82         523
          79          84         524
          79          86         525
          79          87         526
          80          81         527
          80          82         528
          81          82         529
          81          97         530
          81         109         531
          82          84         532
          82          86         533
          82          87         534
          83          84         535
          83          86         536
          83          87         537
          83          89         538
          83          90         539
          83          91         540
          83          93         541
          84          86         542
          84          87         543
          84          89         544
          84          90         545
          84          91         546
          85          96         547
          85          97         548
          85         107         549
          85         109         550
          85         114         551
          85         118         552
          85         119         553
          86          87         554
          86          90         555
          86          91         556
          86          97         557
          86         114         558
          86         115         559
          87          89         560
          88          92         561
          88          93         562
          88          94         563
          88         110         564
          88         116         565
          88         117         566
          89          91         567
          89          93         568
          89         116         569
          90          91         570
          90          97         571
          90         110         572
          90         112         573
          90         113         574
          90         114         575
          90         115         576
          91          93         577
          91         110         578
          91         112         579
          91         113         580
          91         115         581
          92          94         582
          92         105         583
          92         116         584
          92         117         585
          92         121         586
          93         116         587
          93         117         588
          94         100         589
          94         103         590
          94         110         591
          94         117         592
          94         122         593
          95          99         594
          95         122         595
          95         123         596
          96          97         597
          96         107         598
          96         108         599
          96         109         600
          96         114         601
          96         118         602
          97         109         603
          97         114         604
          97         115         605
          98         101         606
          98         102         607
          98         103         608
          98         122         609
          98         123         610
          98         124         611
          99         120         612
          99         121         613
         100         103         614
         100         110         615
         100         111         616
         100         113         617
         100         122         618
         100         124         619
         101         102         620
         101         111         621
         101         124         622
         102         124         623
         103         111         624
         103         122         625
         103         123         626
         103         124         627
         104         106         628
         105         116         629
         105         117         630
         107         108         631
         107         109         632
         107         118         633
         108         109         634
         109         114         635
         110         111         636
         110         112         637
         110         113         638
         110         115         639
         111         113         640
         111         124         641
         112         113         642
         112         114         643
         112         115         644
         112         119         645
         113         115         646
         113         119         647
         114         115         648
         116         117         649
         118         119         650
         120         121         651
         122         123         652
         122         124         653
         123         124         654
