          75              !  # of nodes 
          98           2  ! # of cells, # of nodes in cell mesh_type =graph
  0.21411301331178581       0.52451032871334979        0.0000000000000000       ! x,y,z 
  0.29339815779840772       0.42393449257043742        0.0000000000000000     
  0.30750141121659158       0.47031037462251357        0.0000000000000000     
  0.30332347754478817       0.51428921656424542        0.0000000000000000     
  0.31405528058115240       0.53613562209911525        0.0000000000000000     
  0.27697267649220941       0.53454318332442741        0.0000000000000000     
  0.21904625712293305       0.49452120904700281        0.0000000000000000     
  0.20075765803073325       0.47519280226175070        0.0000000000000000     
  0.17132438497340424       0.45312500000000000        0.0000000000000000     
  0.24891396343853467       0.52320193069703436        0.0000000000000000     
  0.22605490888867308       0.52457095676476084        0.0000000000000000     
  0.19007867279765228       0.52295941849139038        0.0000000000000000     
  0.24807440186424368       0.30330055953372337        0.0000000000000000     
  0.36866542948687120       0.71875000000000000        0.0000000000000000     
  0.21816053226863732       0.25481232380991586        0.0000000000000000     
  0.18514212907454930       0.26924929523966357        0.0000000000000000     
  0.20616500289351852       0.75857484879032244        0.0000000000000000     
  0.23741500289351852       0.75857484879032244        0.0000000000000000     
  0.23685428228503017       0.26603686808484739        0.0000000000000000     
  0.35824876282020451       0.73958333333333326        0.0000000000000000     
  0.27077995093431306       0.75771483091722502        0.0000000000000000     
  0.30202995093431306       0.75771483091722502        0.0000000000000000     
  0.16666666666666666       0.73958333333333326        0.0000000000000000     
  0.27831026763485045       0.36735502308958157        0.0000000000000000     
  0.28457826070214681       0.39205912557483763        0.0000000000000000     
  0.26635136331233128       0.34169078674752662        0.0000000000000000     
  0.25103895473856019       0.32131652454337284        0.0000000000000000     
  0.26491540937876334       0.32528578343715642        0.0000000000000000     
  0.21658710663179873       0.21885470096606696        0.0000000000000000     
  0.32286328426764643       0.75771483091722502        0.0000000000000000     
  0.41451977420614605       0.69472921143104405        0.0000000000000000     
  0.43875444572421196       0.69198265722069741        0.0000000000000000     
  0.43021007797385336       0.70195842286208809        0.0000000000000000     
