           37         -999         -999         -999         -999         -999         -999         -999         -999         -999
            7           16           13           21         -999         -999         -999         -999         -999         -999
           11           16           15           21         -999         -999         -999         -999         -999         -999
           17           22           23           21           25         -999         -999         -999         -999         -999
           19           27           37           17           16           17         -999         -999         -999         -999
           19           27           31           16           15         -999         -999         -999         -999         -999
           20           26           28           14           13         -999         -999         -999         -999         -999
           15           27           23           14           14         -999         -999         -999         -999         -999
           14           20           17           15         -999         -999         -999         -999         -999         -999
           14           20           21           12         -999         -999         -999         -999         -999         -999
           15           22           20           13         -999         -999         -999         -999         -999         -999
           12           26           26           12         -999         -999         -999         -999         -999         -999
           11           24           25           11         -999         -999         -999         -999         -999         -999
           11           24           22           12         -999         -999         -999         -999         -999         -999
           12           32           26           11         -999         -999         -999         -999         -999         -999
           11           48           34           12           10         -999         -999         -999         -999         -999
           11           26           27         -999         -999         -999         -999         -999         -999         -999
           13           26           36         -999         -999         -999         -999         -999         -999         -999
           13           29           31         -999         -999         -999         -999         -999         -999         -999
           16           31           37         -999         -999         -999         -999         -999         -999         -999
           14           41           36         -999         -999         -999         -999         -999         -999         -999
           20           36           43         -999         -999         -999         -999         -999         -999         -999
           71          153          110         -999         -999         -999         -999         -999         -999         -999
          290          322          409         -999         -999         -999         -999         -999         -999         -999
           20           23         -999         -999         -999         -999         -999         -999         -999         -999
            0            0            0            0            0            0            0            0            0            0
