           1        35
 time -1e30 
          14
           1                    0.2
          12                    0.2
          16   -0.1111111111111111
          17   -0.1111111111111111
          21                    0.2
          25   -0.1111111111111111
          27   -0.1111111111111111
          28   -0.1111111111111111
          30                    0.2
          32   -0.1111111111111111
           4   -0.1111111111111111
           5   -0.1111111111111111
           6                    0.2
           8   -0.1111111111111111
 time 1e30
