           1         640  ! dim data
time   0.000000E+00
         177
           5   1.3020833333333333E-003
           6   9.4642168209876573E-004
           7   1.0276516524804155E-003
           8   1.3020833333333333E-003
           9  -1.9531250000000022E-003
          10  -4.3945312500000052E-003
          11  -3.9062500000000043E-003
          12  -3.5054781281606451E-003
          16   3.3297041048505885E-003
          22   1.8446180555555562E-003
          23   1.7607717803030300E-003
          30   1.9210105223536101E-003
          38   1.9899916855995663E-003
          52   2.6793017573585147E-003
          57   2.5262784028893103E-003
          67   2.9497813786008246E-003
          69   3.4767433449074073E-003
          70   2.2998002221936427E-003
          73   3.1830750561221343E-003
          74   2.9666850843832371E-003
          75   2.8549609450636555E-003
          76   1.7922116166959471E-003
          77   3.9927531536974844E-003
          78   2.7359020639114891E-003
          79   2.5558866031517068E-003
          80   2.0877344355092462E-003
          83   2.6699094134574252E-003
          84   3.9635175540123453E-003
          85   1.8928433641975302E-003
          86  -6.0589027820329511E-003
          89  -8.7076822916666696E-003
          96  -5.4931640625000069E-003
         102  -5.8593750000000061E-003
         103  -5.0087562882414824E-003
         106  -5.9655661394376986E-003
         107  -1.1493511515588079E-002
         108  -1.1146299404204496E-002
         109  -6.5500932526211791E-003
         110  -9.8642432923182026E-003
         111  -9.7933289007092299E-003
         112  -1.0138674692372856E-002
         113  -1.0174760809919952E-002
         114  -7.6477008582053335E-003
         115  -4.7128325376467779E-003
         117  -5.9582048993663504E-003
         118  -5.2582171922409679E-003
         119  -1.0335928280587447E-002
         120   2.4482794539398937E-003
         135  -9.1228744704405368E-003
         136  -1.1228619161155451E-002
         137  -6.7661296243777050E-003
         138  -6.4557501662061813E-003
         209   3.3908420138888903E-003
         210   2.9899691358024703E-003
         211   3.6410108024691377E-003
         225  -9.8876953125000121E-003
         226  -1.1718750000000010E-002
         227  -4.3945312500000052E-003
         238  -1.2939453125000005E-002
         239  -1.1125352647569444E-002
         240  -6.8359374999999939E-003
         244  -1.1340770846098861E-002
         245  -1.2828908056085322E-002
         246  -7.0513556985294188E-003
         253   2.2786458333333339E-003
         265   3.9062499999999996E-003
         266   4.1870861734860593E-003
         267   1.9531250000000000E-003
         275   3.4891764322916648E-003
         276   3.6521623350727686E-003
         277   4.3196244673295468E-003
         279   1.9531250000000000E-003
         288   3.9062499999999996E-003
         289   3.2552083333333352E-003
         290   1.9531250000000000E-003
         305   2.1528764204545459E-003
         306   3.8174913326951667E-003
         307   2.7598440796636524E-003
         308   3.0689444474068751E-003
         312   3.3908420138888864E-003
         313   2.6043039465348397E-003
         338   8.8614004629629720E-004
         344   1.9531250000000000E-003
         370   3.2927588867587990E-003
         371   2.6776164615491226E-003
         372   2.8063911809776852E-003
         377   2.6721207868126177E-003
         378   3.4586588541666661E-003
         379   3.0932014371141989E-003
         380   3.5807291666666683E-003
         381   4.3470594618055551E-003
         383   1.9531250000000000E-003
         402   3.4814319165809302E-003
         403   2.8392650462962946E-003
         404   3.6148050357938930E-003
         405   3.9062500000000017E-003
         408   2.9862181491496827E-003
         409   3.2845956307870358E-003
         410   1.4648437500000000E-003
         411   3.1307100105024024E-003
         412   3.5905249324845682E-003
         416   4.1316552720755441E-003
         417   3.1802483490864925E-003
         418   2.8806417552821829E-003
         419   2.4123842079382543E-003
         420   3.3291903409090906E-003
         421   3.1294389204545446E-003
         425   2.9320246796964199E-003
         426   2.7768134179111475E-003
         427   3.3824322745256204E-003
         428   3.4951054911130279E-003
         429   3.8508190985894839E-003
         430   2.5637511222363490E-003
         431   2.5980650504889191E-003
         432   3.2037582104355597E-003
         433   2.8375638885204278E-003
         434   1.3661631373644116E-003
         435   2.9642506421495860E-003
         436   1.1298299574412467E-003
         437   3.0829549574412462E-003
         443   3.7073206018518505E-003
         444   2.0637250567986975E-003
         445   2.8392650462962968E-003
         446   1.9531250000000000E-003
         460  -5.8593750000000069E-003
         461  -1.3183593750000012E-002
         462  -5.8593750000000069E-003
         486  -1.0844778507313843E-002
         487  -1.0703228889627672E-002
         488  -1.1165104859264210E-002
         496  -6.5917968750000078E-003
         501  -1.1943411319813838E-002
         502  -1.3183593750000016E-002
         503  -6.5917968750000078E-003
         504  -1.3427734375000010E-002
         505  -1.1917006039450380E-002
         506  -1.2084960937500014E-002
         511  -9.0738328634887479E-003
         512  -1.1425612224124715E-002
         517  -1.0396539525593653E-002
         518  -9.1608550599015254E-003
         519  -7.5660950457428992E-003
         520  -7.8602598311582304E-003
         521  -8.3516600149863337E-003
         522  -5.9532870984992650E-003
         523  -7.4638887632022212E-003
         524  -8.8093364382381065E-003
         525  -8.2613163032300256E-003
         526  -8.5132831575445087E-003
         527  -9.6182885794522943E-003
         528  -7.9347851871536638E-003
         529  -9.9143981711181904E-003
         530  -8.1852105144410679E-003
         531  -7.3447957696078361E-003
         532  -7.1307115243844236E-003
         533  -8.3469771853958031E-003
         538  -2.4955651050749912E-003
         539  -6.6746088497381100E-003
         541  -9.3697379751573016E-003
         542  -1.3040627778522097E-002
         543  -9.4994148360454164E-003
         544  -1.0516434384481927E-002
         545  -9.9152765767228854E-003
         546  -4.6570593844819288E-003
         547  -1.1593971834598737E-002
         548  -1.0114194518530682E-002
         549  -1.0032371876086578E-002
         550  -7.2521176410712202E-003
         551  -4.6704439284912160E-003
         553  -1.1718750000000012E-002
         554  -9.5276375127032655E-003
         555  -5.8593750000000069E-003
         564  -5.8593750000000069E-003
         568  -1.1117592192240974E-002
         569  -1.2597369508309027E-002
         584  -7.3390572267276362E-003
         585  -5.8593750000000069E-003
time   1.000000E+30
