          27              !  # of nodes 
          47           2           2  ! # of cells, # of nodes in cell, #cell id  mesh_type =graph
  0.22318672839506173       0.34625771604938271        0.0000000000000000       ! x,y,z 
  0.22172251670055187       0.64896998136315220        0.0000000000000000     
  0.18663194444444442       0.51909722222222221        0.0000000000000000     
  0.32388117283950618       0.33140432098765432        0.0000000000000000     
  0.24402006172839508       0.38792438271604945        0.0000000000000000     
  0.33254031533633005       0.65110066318133408        0.0000000000000000     
  0.29087364866966336       0.69276732984800060        0.0000000000000000     
  0.33001942808381629       0.60943399651466734        0.0000000000000000     
  0.28742283950617287       0.40528549382716045        0.0000000000000000     
  0.32908950617283950       0.38445216049382713        0.0000000000000000     
  0.43750253861162103       0.41072887076011499        0.0000000000000000     
  0.77018690898345155       0.35739878841607564        0.0000000000000000     
  0.68055555555555547       0.38541666666666663        0.0000000000000000     
  0.75781250000000000       0.30468750000000000        0.0000000000000000     
  0.73459663120567376       0.39646128841607564        0.0000000000000000     
  0.72705092105437763       0.48161053658302011        0.0000000000000000     
  0.24393984939319679       0.47906018950748291        0.0000000000000000     
  0.80617516718056925       0.44633333099038108        0.0000000000000000     
  0.66984892196831392       0.64879521105481408        0.0000000000000000     
  0.75055621081203583       0.60341047030261963        0.0000000000000000     
  0.56628125351093284       0.40576146980767464        0.0000000000000000     
  0.58096618544496215       0.59556766706267572        0.0000000000000000     
  0.40033046576414899       0.57836237869412721        0.0000000000000000     
  0.49914984624392145       0.59151967718362741        0.0000000000000000     
  0.73234892196831392       0.66962854438814734        0.0000000000000000     
  0.78606785571385995       0.53839505145816491        0.0000000000000000     
  0.83070728884372169       0.64320728884372169        0.0000000000000000     
           1           4          28     !n1,n2, material
           1           5          32
           1           9          33
           1          10          35
           2           6         409
           2           7         415
           2           8         416
           3          17         437
           4           5         787
           4           9         788
           4          10         790
           4          11         795
           5           9         832
           5          10         834
           5          17         835
           6           7         860
           6           8         862
           6          23         867
           7           8         903
           8          23         926
           9          10         961
           9          17         962
          10          11         969
          11          21        1021
          12          13        1126
          12          14        1127
          12          15        1129
          12          18        1134
          13          14        1190
          13          15        1193
          13          16        1194
          13          21        1196
          14          15        1199
          15          16        1230
          15          18        1234
          16          18        1260
          16          26        1263
          18          26        1315
          19          20        1378
          19          22        1382
          19          25        1385
          20          25        1387
          20          26        1388
          20          27        1389
          22          24        1481
          23          24        1507
          25          27        1527
